PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Cabin,Embarked,Title,Fare_interval
88,0,3,0,,0,0,,2,0.0,2
89,1,1,1,23.0,3,2,C23 C25 C27,2,2.0,9
90,0,3,0,24.0,0,0,,2,0.0,2
91,0,3,0,29.0,0,0,,2,0.0,2
92,0,3,0,20.0,0,0,,2,0.0,1
93,0,1,0,46.0,1,0,E31,2,0.0,8
94,0,3,0,26.0,1,2,,2,0.0,5
95,0,3,0,59.0,0,0,,2,0.0,0
96,0,3,0,,0,0,,2,0.0,2
97,0,1,0,71.0,0,0,A5,1,0.0,7
98,1,1,0,23.0,0,1,D10 D12,1,0.0,8
99,1,2,1,34.0,0,1,,2,3.0,6
100,0,2,0,34.0,1,0,,2,0.0,6
101,0,3,1,28.0,0,0,,2,2.0,2
102,0,3,0,,0,0,,2,0.0,2
103,0,1,0,21.0,0,1,D26,2,0.0,8
104,0,3,0,33.0,0,0,,2,0.0,3
105,0,3,0,37.0,2,0,,2,0.0,2
106,0,3,0,28.0,0,0,,2,0.0,2
107,1,3,1,21.0,0,0,,2,2.0,1
108,1,3,0,,0,0,,2,0.0,1
109,0,3,0,38.0,0,0,,2,0.0,2
110,1,3,1,,1,0,,3,2.0,6
111,0,1,0,47.0,0,0,C110,2,0.0,8
112,0,3,1,14.5,1,0,,1,2.0,4
113,0,3,0,22.0,0,0,,2,0.0,2
114,0,3,1,20.0,1,0,,2,2.0,3
115,0,3,1,17.0,0,0,,1,2.0,5
116,0,3,0,21.0,0,0,,2,0.0,2
117,0,3,0,70.5,0,0,,3,0.0,1
118,0,2,0,29.0,1,0,,2,0.0,5
119,0,1,0,24.0,0,1,B58 B60,1,0.0,9
120,0,3,1,2.0,4,2,,2,2.0,7
121,0,2,0,21.0,2,0,,2,0.0,8
122,0,3,0,,0,0,,2,0.0,2
123,0,2,0,32.5,1,0,,1,0.0,7
124,1,2,1,32.5,0,0,E101,2,2.0,4
125,0,1,0,54.0,0,1,D26,2,0.0,8
126,1,3,0,12.0,1,0,,1,1.0,4
127,0,3,0,,0,0,,3,0.0,1
128,1,3,0,24.0,0,0,,2,0.0,0
129,1,3,1,,1,1,F E69,1,2.0,6
130,0,3,0,45.0,0,0,,2,0.0,0
131,0,3,0,33.0,0,0,,1,0.0,2
132,0,3,0,20.0,0,0,,2,0.0,0
133,0,3,1,47.0,1,0,,2,3.0,5
134,1,2,1,29.0,1,0,,2,3.0,6
135,0,2,0,25.0,0,0,,2,0.0,4
136,0,2,0,23.0,0,0,,1,0.0,5
137,1,1,1,19.0,0,2,D47,2,2.0,6
138,0,1,0,37.0,1,0,C123,2,0.0,8
139,0,3,0,16.0,0,0,,2,0.0,3
140,0,1,0,24.0,0,0,B86,1,0.0,9
141,0,3,1,,0,2,,1,3.0,5
142,1,3,1,22.0,0,0,,2,2.0,1
143,1,3,1,24.0,1,0,,2,3.0,5
144,0,3,0,19.0,0,0,,3,0.0,0
145,0,2,0,18.0,0,0,,2,0.0,4
146,0,2,0,19.0,1,1,,2,0.0,7
147,1,3,0,27.0,0,0,,2,0.0,1
148,0,3,1,9.0,2,2,,2,2.0,7
149,0,2,0,36.5,0,2,F2,2,0.0,6
150,0,2,0,42.0,0,0,,2,4.0,4
151,0,2,0,51.0,0,0,,2,4.0,4
152,1,1,1,22.0,1,0,C2,2,3.0,8
153,0,3,0,55.5,0,0,,2,0.0,2
154,0,3,0,40.5,0,2,,2,0.0,5
155,0,3,0,,0,0,,2,0.0,0
156,0,1,0,51.0,0,1,,1,0.0,8
157,1,3,1,16.0,0,0,,3,2.0,1
158,0,3,0,30.0,0,0,,2,0.0,2
159,0,3,0,,0,0,,2,0.0,3
160,0,3,0,,5,2,,2,1.0,8
161,0,3,0,44.0,0,1,,2,0.0,5
162,1,2,1,40.0,0,0,,2,3.0,5
163,0,3,0,26.0,0,0,,2,0.0,1
164,0,3,0,17.0,0,0,,2,0.0,3
165,0,3,0,1.0,4,1,,2,1.0,7
166,1,3,0,9.0,0,2,,2,1.0,5
167,1,1,1,,0,1,E33,2,3.0,8
168,0,3,1,45.0,1,4,,2,3.0,7
169,0,1,0,,0,0,,2,0.0,6
170,0,3,0,28.0,0,0,,2,0.0,8
171,0,1,0,61.0,0,0,B19,2,0.0,7
172,0,3,0,4.0,4,1,,3,1.0,7
173,1,3,1,1.0,1,1,,2,2.0,4
174,0,3,0,21.0,0,0,,2,0.0,2
175,0,1,0,56.0,0,0,A7,1,0.0,7
176,0,3,0,18.0,1,1,,2,0.0,1
177,0,3,0,,3,1,,2,1.0,6
178,0,1,1,50.0,0,0,C49,1,2.0,7
179,0,2,0,30.0,0,0,,2,0.0,4
180,0,3,0,36.0,0,0,,2,0.0,0
181,0,3,1,,5,2,,2,2.0,8
182,0,2,0,,0,0,,1,0.0,5
183,0,3,0,9.0,4,2,,2,1.0,7
184,1,2,0,1.0,2,1,F4,2,1.0,7
185,1,3,1,4.0,0,2,,2,2.0,6
186,0,1,0,,0,0,A32,2,0.0,8
187,1,3,1,,1,0,,3,3.0,5
188,1,1,0,45.0,0,0,,2,0.0,6
189,0,3,0,40.0,1,1,,3,0.0,5
190,0,3,0,36.0,0,0,,2,0.0,2
191,1,2,1,32.0,0,0,,2,3.0,4
192,0,2,0,19.0,0,0,,2,0.0,4
193,1,3,1,19.0,1,0,,2,2.0,1
194,1,2,0,3.0,1,1,F2,2,1.0,6
195,1,1,1,44.0,0,0,B4,1,3.0,7
196,1,1,1,58.0,0,0,B80,1,2.0,9
197,0,3,0,,0,0,,3,0.0,1
198,0,3,0,42.0,0,1,,2,0.0,3
199,1,3,1,,0,0,,3,2.0,1
200,0,2,1,24.0,0,0,,2,2.0,4
201,0,3,0,28.0,0,0,,2,0.0,3
202,0,3,0,,5,2,,2,0.0,8
203,0,3,0,34.0,0,0,,2,0.0,0
204,0,3,0,45.5,0,0,,1,0.0,0
205,1,3,0,18.0,0,0,,2,0.0,2
206,0,3,1,2.0,0,1,G6,2,2.0,3
207,0,3,0,32.0,1,0,,2,0.0,5
208,1,3,0,26.0,0,0,,1,0.0,5
209,1,3,1,16.0,0,0,,3,2.0,1
210,1,1,0,40.0,0,0,A31,1,0.0,7
211,0,3,0,24.0,0,0,,2,0.0,0
212,1,2,1,35.0,0,0,,2,2.0,5
213,0,3,0,22.0,0,0,,2,0.0,0
214,0,2,0,30.0,0,0,,2,0.0,4
215,0,3,0,,1,0,,3,0.0,1
216,1,1,1,31.0,1,0,D36,1,2.0,9
217,1,3,1,27.0,0,0,,2,2.0,2
218,0,2,0,42.0,1,0,,2,0.0,6
219,1,1,1,32.0,0,0,D15,1,2.0,8
220,0,2,0,30.0,0,0,,2,0.0,3
221,1,3,0,16.0,0,0,,2,0.0,2
222,0,2,0,27.0,0,0,,2,0.0,4
223,0,3,0,51.0,0,0,,2,0.0,2
224,0,3,0,,0,0,,2,0.0,2
225,1,1,0,38.0,1,0,C93,2,0.0,9
226,0,3,0,22.0,0,0,,2,0.0,3
227,1,2,0,19.0,0,0,,2,0.0,3
228,0,3,0,20.5,0,0,,2,0.0,0
229,0,2,0,18.0,0,0,,2,0.0,4
230,0,3,1,,3,1,,2,2.0,6
231,1,1,1,35.0,1,0,C83,2,3.0,9
232,0,3,0,29.0,0,0,,2,0.0,1
233,0,2,0,59.0,0,0,,2,0.0,4
234,1,3,1,5.0,4,2,,2,2.0,7
235,0,2,0,24.0,0,0,,2,0.0,3
236,0,3,1,,0,0,,2,2.0,0
237,0,2,0,44.0,1,0,,2,0.0,6
238,1,2,1,8.0,0,2,,2,2.0,6
239,0,2,0,19.0,0,0,,2,0.0,3
240,0,2,0,33.0,0,0,,2,0.0,4
241,0,3,1,,1,0,,1,2.0,4
242,1,3,1,,1,0,,3,2.0,5
243,0,2,0,29.0,0,0,,2,0.0,3
244,0,3,0,22.0,0,0,,2,0.0,0
245,0,3,0,30.0,0,0,,1,0.0,0
246,0,1,0,44.0,2,0,C78,3,1.0,9
247,0,3,1,25.0,0,0,,2,2.0,1
248,1,2,1,24.0,0,2,,2,3.0,5
249,1,1,0,37.0,1,1,D35,2,0.0,8
250,0,2,0,54.0,1,0,,2,4.0,6
251,0,3,0,,0,0,,2,0.0,0
252,0,3,1,29.0,1,1,G6,2,3.0,3
253,0,1,0,62.0,0,0,C87,2,0.0,6
254,0,3,0,30.0,1,0,,2,0.0,5
255,0,3,1,41.0,0,2,,2,3.0,5
256,1,3,1,29.0,0,2,,1,3.0,5
257,1,1,1,,0,0,,1,3.0,9
258,1,1,1,30.0,0,0,B77,2,2.0,9
259,1,1,1,35.0,0,0,,1,2.0,9
260,1,2,1,50.0,0,1,,2,3.0,6
261,0,3,0,,0,0,,3,0.0,1
262,1,3,0,3.0,4,2,,2,1.0,7
263,0,1,0,52.0,1,1,E67,2,0.0,9
264,0,1,0,40.0,0,0,B94,2,0.0,0
265,0,3,1,,0,0,,3,2.0,1
266,0,2,0,36.0,0,0,,2,0.0,3
267,0,3,0,16.0,4,1,,2,0.0,7
268,1,3,0,25.0,1,0,,2,0.0,1
269,1,1,1,58.0,0,1,C125,2,3.0,9
270,1,1,1,35.0,0,0,C99,2,2.0,9
271,0,1,0,,0,0,,2,0.0,7
272,1,3,0,25.0,0,0,,2,0.0,0
273,1,2,1,41.0,0,1,,2,3.0,5
274,0,1,0,37.0,0,1,C118,1,0.0,7
275,1,3,1,,0,0,,3,2.0,1
276,1,1,1,63.0,1,0,D7,2,2.0,8
277,0,3,1,45.0,0,0,,2,2.0,1
278,0,2,0,,0,0,,2,0.0,0
279,0,3,0,7.0,4,1,,3,1.0,7
280,1,3,1,35.0,1,1,,2,3.0,5
281,0,3,0,65.0,0,0,,3,0.0,1
282,0,3,0,28.0,0,0,,2,0.0,1
283,0,3,0,16.0,0,0,,2,0.0,3
284,1,3,0,19.0,0,0,,2,0.0,2
285,0,1,0,,0,0,A19,2,0.0,6
286,0,3,0,33.0,0,0,,1,0.0,3
287,1,3,0,30.0,0,0,,2,0.0,3
288,0,3,0,22.0,0,0,,2,0.0,2
289,1,2,0,42.0,0,0,,2,0.0,4
290,1,3,1,22.0,0,0,,3,2.0,1
291,1,1,1,26.0,0,0,,2,2.0,9
292,1,1,1,19.0,1,0,B49,1,3.0,9
293,0,2,0,36.0,0,0,D,1,0.0,4
294,0,3,1,24.0,0,0,,2,2.0,3
295,0,3,0,24.0,0,0,,2,0.0,2
296,0,1,0,,0,0,,1,0.0,7
297,0,3,0,23.5,0,0,,1,0.0,0
298,0,1,1,2.0,1,2,C22 C26,2,2.0,9
299,1,1,0,,0,0,C106,2,0.0,7
300,1,1,1,50.0,0,1,B58 B60,1,3.0,9
301,1,3,1,,0,0,,3,2.0,1
302,1,3,0,,2,0,,3,0.0,6
303,0,3,0,19.0,0,0,,2,0.0,0
304,1,2,1,,0,0,E101,3,2.0,4
305,0,3,0,,0,0,,2,0.0,2
306,1,1,0,0.92,1,2,C22 C26,2,1.0,9
307,1,1,1,,0,0,,1,2.0,9
308,1,1,1,17.0,1,0,C65,1,3.0,9
309,0,2,0,30.0,1,0,,1,0.0,6
310,1,1,1,30.0,0,0,E36,1,2.0,8
311,1,1,1,24.0,0,0,C54,1,2.0,9
312,1,1,1,18.0,2,2,B57 B59 B63 B66,1,2.0,9
313,0,2,1,26.0,1,1,,2,3.0,6
314,0,3,0,28.0,0,0,,2,0.0,2
315,0,2,0,43.0,1,1,,2,0.0,6
316,1,3,1,26.0,0,0,,2,2.0,1
317,1,2,1,24.0,1,0,,2,3.0,6
318,0,2,0,54.0,0,0,,2,1.0,4
319,1,1,1,31.0,0,2,C7,2,2.0,9
320,1,1,1,40.0,1,1,E34,1,3.0,9
321,0,3,0,22.0,0,0,,2,0.0,0
322,0,3,0,27.0,0,0,,2,0.0,2
323,1,2,1,30.0,0,0,,3,2.0,4
324,1,2,1,22.0,1,1,,2,3.0,7
325,0,3,0,,5,2,,2,0.0,8
326,1,1,1,36.0,0,0,C32,1,2.0,9
327,0,3,0,61.0,0,0,,2,0.0,0
328,1,2,1,36.0,0,0,D,2,3.0,4
329,1,3,1,31.0,1,1,,2,3.0,5
330,1,1,1,16.0,0,1,B18,1,2.0,8
331,1,3,1,,2,0,,3,2.0,6
332,0,1,0,45.5,0,0,C124,2,0.0,7
333,0,1,0,38.0,0,1,C91,2,0.0,9
334,0,3,0,16.0,2,0,,2,0.0,5
335,1,1,1,,1,0,,2,3.0,9
336,0,3,0,,0,0,,2,0.0,2
337,0,1,0,29.0,1,0,C2,2,0.0,8
338,1,1,1,41.0,0,0,E40,1,2.0,9
339,1,3,0,45.0,0,0,,2,0.0,2
340,0,1,0,45.0,0,0,T,2,0.0,7
341,1,2,0,2.0,1,1,F2,2,1.0,6
342,1,1,1,24.0,3,2,C23 C25 C27,2,2.0,9
343,0,2,0,28.0,0,0,,2,0.0,4
344,0,2,0,25.0,0,0,,2,0.0,4
345,0,2,0,36.0,0,0,,2,0.0,4
346,1,2,1,24.0,0,0,F33,2,2.0,4
347,1,2,1,40.0,0,0,,2,2.0,4
348,1,3,1,,1,0,,2,3.0,5
349,1,3,0,3.0,1,1,,2,1.0,5
350,0,3,0,42.0,0,0,,2,0.0,3
351,0,3,0,23.0,0,0,,2,0.0,3
352,0,1,0,,0,0,C128,2,0.0,7
353,0,3,0,15.0,1,1,,1,0.0,0
354,0,3,0,25.0,1,0,,2,0.0,5
355,0,3,0,,0,0,,1,0.0,0
356,0,3,0,28.0,0,0,,2,0.0,3
357,1,1,1,22.0,0,1,E33,2,2.0,8
358,0,2,1,38.0,0,0,,2,2.0,4
359,1,3,1,,0,0,,3,2.0,2
360,1,3,1,,0,0,,3,2.0,2
361,0,3,0,40.0,1,4,,2,0.0,7
362,0,2,0,29.0,1,0,,1,0.0,7
363,0,3,1,45.0,0,1,,1,3.0,4
364,0,3,0,35.0,0,0,,2,0.0,0
365,0,3,0,,1,0,,3,0.0,5
366,0,3,0,30.0,0,0,,2,0.0,0
367,1,1,1,60.0,1,0,D37,1,3.0,8
368,1,3,1,,0,0,,1,3.0,0
369,1,3,1,,0,0,,3,2.0,1
370,1,1,1,24.0,0,0,B35,1,4.0,8
371,1,1,0,25.0,1,0,E50,1,0.0,8
372,0,3,0,18.0,1,0,,2,0.0,0
373,0,3,0,19.0,0,0,,2,0.0,2
374,0,1,0,22.0,0,0,,1,0.0,9
375,0,3,1,3.0,3,1,,2,2.0,5
376,1,1,1,,1,0,,1,3.0,9
377,1,3,1,22.0,0,0,,2,2.0,0
378,0,1,0,27.0,0,2,C82,1,0.0,9
379,0,3,0,20.0,0,0,,1,0.0,0
380,0,3,0,19.0,0,0,,2,0.0,1
381,1,1,1,42.0,0,0,,1,2.0,9
382,1,3,1,1.0,0,2,,1,2.0,5
383,0,3,0,32.0,0,0,,2,0.0,2
384,1,1,1,35.0,1,0,,2,3.0,8
385,0,3,0,,0,0,,2,0.0,2
386,0,2,0,18.0,0,0,,2,0.0,8
387,0,3,0,1.0,5,2,,2,1.0,8
388,1,2,1,36.0,0,0,,2,2.0,4
389,0,3,0,,0,0,,3,0.0,1
390,1,2,1,17.0,0,0,,1,2.0,4
391,1,1,0,36.0,1,2,B96 B98,2,0.0,9
392,1,3,0,21.0,0,0,,2,0.0,1
393,0,3,0,28.0,2,0,,2,0.0,2
394,1,1,1,23.0,1,0,D36,1,2.0,9
395,1,3,1,24.0,0,2,G6,2,3.0,5
396,0,3,0,22.0,0,0,,2,0.0,1
397,0,3,1,31.0,0,0,,2,2.0,1
398,0,2,0,46.0,0,0,,2,0.0,6
399,0,2,0,23.0,0,0,,2,1.0,3
400,1,2,1,28.0,0,0,,2,3.0,4
401,1,3,0,39.0,0,0,,2,0.0,2
402,0,3,0,26.0,0,0,,2,0.0,2
403,0,3,1,21.0,1,0,,2,2.0,3
404,0,3,0,28.0,1,0,,2,0.0,5
405,0,3,1,20.0,0,0,,2,2.0,3
406,0,2,0,34.0,1,0,,2,0.0,5
407,0,3,0,51.0,0,0,,2,0.0,1
408,1,2,0,3.0,1,1,,2,1.0,5
409,0,3,0,21.0,0,0,,2,0.0,1
410,0,3,1,,3,1,,2,2.0,6
411,0,3,0,,0,0,,2,0.0,2
412,0,3,0,,0,0,,3,0.0,0
413,1,1,1,33.0,1,0,C78,3,2.0,9
414,0,2,0,,0,0,,2,0.0,0
415,1,3,0,44.0,0,0,,2,0.0,2
416,0,3,1,,0,0,,2,3.0,2
417,1,2,1,34.0,1,1,,2,3.0,7
418,1,2,1,18.0,0,2,,2,2.0,4
419,0,2,0,30.0,0,0,,2,0.0,4
420,0,3,1,10.0,0,2,,2,2.0,6
421,0,3,0,,0,0,,1,0.0,2
422,0,3,0,21.0,0,0,,3,0.0,1
423,0,3,0,29.0,0,0,,2,0.0,2
424,0,3,1,28.0,1,1,,2,3.0,4
425,0,3,0,18.0,1,1,,2,0.0,5
426,0,3,0,,0,0,,2,0.0,0
427,1,2,1,28.0,1,0,,2,3.0,6
428,1,2,1,19.0,0,0,,2,2.0,6
429,0,3,0,,0,0,,3,0.0,1
430,1,3,0,32.0,0,0,E10,2,0.0,2
431,1,1,0,28.0,0,0,C52,2,0.0,6
432,1,3,1,,1,0,,2,3.0,5
433,1,2,1,42.0,1,0,,2,3.0,6
434,0,3,0,17.0,0,0,,2,0.0,0
435,0,1,0,50.0,1,0,E44,2,0.0,8
436,1,1,1,14.0,1,2,B96 B98,2,2.0,9
437,0,3,1,21.0,2,2,,2,2.0,7
438,1,2,1,24.0,2,3,,2,3.0,5
439,0,1,0,64.0,1,4,C23 C25 C27,2,0.0,9
440,0,2,0,31.0,0,0,,2,0.0,3
441,1,2,1,45.0,1,1,,2,3.0,6
442,0,3,0,20.0,0,0,,2,0.0,3
443,0,3,0,25.0,1,0,,2,0.0,1
444,1,2,1,28.0,0,0,,2,3.0,4
445,1,3,0,,0,0,,2,0.0,3
446,1,1,0,4.0,0,2,A34,2,1.0,9
447,1,2,1,13.0,0,1,,2,2.0,5
448,1,1,0,34.0,0,0,,2,0.0,6
449,1,3,1,5.0,2,1,,1,2.0,5
450,1,1,0,52.0,0,0,C104,2,1.0,7
451,0,2,0,36.0,1,2,,2,0.0,7
452,0,3,0,,1,0,,2,0.0,5
453,0,1,0,30.0,0,0,C111,1,0.0,7
454,1,1,0,49.0,1,0,C92,1,0.0,9
455,0,3,0,,0,0,,2,0.0,2
456,1,3,0,29.0,0,0,,1,0.0,2
457,0,1,0,65.0,0,0,E38,2,0.0,6
458,1,1,1,,1,0,D21,2,3.0,8
459,1,2,1,50.0,0,0,,2,2.0,3
460,0,3,0,,0,0,,3,0.0,1
461,1,1,0,48.0,0,0,E12,2,0.0,6
462,0,3,0,34.0,0,0,,2,0.0,2
463,0,1,0,47.0,0,0,E63,2,0.0,7
464,0,2,0,48.0,0,0,,2,0.0,4
465,0,3,0,,0,0,,2,0.0,2
466,0,3,0,38.0,0,0,,2,0.0,0
467,0,2,0,,0,0,,2,0.0,0
468,0,1,0,56.0,0,0,,2,0.0,6
469,0,3,0,,0,0,,3,0.0,1
470,1,3,1,0.75,2,1,,1,2.0,5
471,0,3,0,,0,0,,2,0.0,0
472,0,3,0,38.0,0,0,,2,0.0,3
473,1,2,1,33.0,1,2,,2,3.0,7
474,1,2,1,23.0,0,0,D,1,3.0,4
475,0,3,1,22.0,0,0,,2,2.0,3
476,0,1,0,,0,0,A14,2,0.0,8
477,0,2,0,34.0,1,0,,2,0.0,5
478,0,3,0,29.0,1,0,,2,0.0,0
479,0,3,0,22.0,0,0,,2,0.0,0
480,1,3,1,2.0,0,1,,2,2.0,4
481,0,3,0,9.0,5,2,,2,1.0,8
482,0,2,0,,0,0,,2,0.0,0
483,0,3,0,50.0,0,0,,2,0.0,2
484,1,3,1,63.0,0,0,,2,3.0,3
485,1,1,0,25.0,1,0,B49,1,0.0,9
486,0,3,1,,3,1,,2,2.0,6
487,1,1,1,35.0,1,0,C93,2,3.0,9
488,0,1,0,58.0,0,0,B37,1,0.0,7
489,0,3,0,30.0,0,0,,2,0.0,2
490,1,3,0,9.0,1,1,,2,1.0,5
491,0,3,0,,1,0,,2,0.0,5
492,0,3,0,21.0,0,0,,2,0.0,0
493,0,1,0,55.0,0,0,C30,2,0.0,7
494,0,1,0,71.0,0,0,,1,0.0,8
495,0,3,0,21.0,0,0,,2,0.0,2
496,0,3,0,,0,0,,1,0.0,5
497,1,1,1,54.0,1,0,D20,1,2.0,9
498,0,3,0,,0,0,,2,0.0,5
499,0,1,1,25.0,1,2,C22 C26,2,3.0,9
500,0,3,0,24.0,0,0,,2,0.0,1
501,0,3,0,17.0,0,0,,2,0.0,3
502,0,3,1,21.0,0,0,,3,2.0,1
503,0,3,1,,0,0,,3,2.0,1
504,0,3,1,37.0,0,0,,2,2.0,3
505,1,1,1,16.0,0,0,B79,2,2.0,9
506,0,1,0,18.0,1,0,C65,1,0.0,9
507,1,2,1,33.0,0,2,,2,3.0,6
508,1,1,0,,0,0,,2,0.0,6
509,0,3,0,28.0,0,0,,2,0.0,6
510,1,3,0,26.0,0,0,,2,0.0,8
511,1,3,0,29.0,0,0,,3,0.0,1
512,0,3,0,,0,0,,2,0.0,2
513,1,1,0,36.0,0,0,E25,2,0.0,6
514,1,1,1,54.0,1,0,,1,3.0,8
515,0,3,0,24.0,0,0,,2,0.0,0
516,0,1,0,47.0,0,0,D46,2,0.0,7
517,1,2,1,34.0,0,0,F33,2,3.0,3
518,0,3,0,,0,0,,3,0.0,6
519,1,2,1,36.0,1,0,,2,3.0,6
520,0,3,0,32.0,0,0,,2,0.0,2
521,1,1,1,30.0,0,0,B73,2,2.0,9
522,0,3,0,22.0,0,0,,2,0.0,2
523,0,3,0,,0,0,,1,0.0,0
524,1,1,1,44.0,0,1,B18,1,3.0,8
525,0,3,0,,0,0,,1,0.0,0
526,0,3,0,40.5,0,0,,3,0.0,1
527,1,2,1,50.0,0,0,,2,2.0,3
528,0,1,0,,0,0,C95,2,0.0,9
529,0,3,0,39.0,0,0,,2,0.0,2
530,0,2,0,23.0,2,1,,2,0.0,4
531,1,2,1,2.0,1,1,,2,2.0,6
532,0,3,0,,0,0,,1,0.0,0
533,0,3,0,17.0,1,1,,1,0.0,0
534,1,3,1,,0,2,,1,3.0,6
535,0,3,1,30.0,0,0,,2,2.0,3
536,1,2,1,7.0,0,2,,2,2.0,6
537,0,1,0,45.0,0,0,B38,2,1.0,6
538,1,1,1,30.0,0,0,,1,2.0,9
539,0,3,0,,0,0,,2,0.0,5
540,1,1,1,22.0,0,2,B39,1,2.0,8
541,1,1,1,36.0,0,2,B22,2,2.0,8
542,0,3,1,9.0,4,2,,2,2.0,7
543,0,3,1,11.0,4,2,,2,2.0,7
544,1,2,0,32.0,1,0,,2,0.0,6
545,0,1,0,50.0,1,0,C86,1,0.0,9
546,0,1,0,64.0,0,0,,2,0.0,6
547,1,2,1,19.0,1,0,,2,3.0,6
548,1,2,0,,0,0,,1,0.0,4
549,0,3,0,33.0,1,1,,2,0.0,5
550,1,2,0,8.0,1,1,,2,1.0,7
551,1,1,0,17.0,0,2,C70,1,0.0,9
552,0,2,0,27.0,0,0,,2,0.0,6
553,0,3,0,,0,0,,3,0.0,1
554,1,3,0,22.0,0,0,,1,0.0,0
555,1,3,1,22.0,0,0,,2,2.0,1
556,0,1,0,62.0,0,0,,2,0.0,6
557,1,1,1,48.0,1,0,A16,1,3.0,7
