PassengerId,Survived,Pclass,Sex,SibSp,Parch,Cabin,Embarked,Title,Fare_interval,Age_interval
68,0,3,0,0,0,,2,0.0,3,2
69,1,3,1,4,2,,2,2.0,2,2
70,0,3,0,2,0,,2,0.0,3,3
71,0,2,0,0,0,,2,0.0,3,3
72,0,3,1,5,2,,2,2.0,8,1
73,0,2,0,0,0,,2,0.0,8,2
74,0,3,0,1,0,,1,0.0,4,3
75,1,3,0,0,0,,2,0.0,8,3
76,0,3,0,0,0,F G73,2,0.0,1,3
77,0,3,0,0,0,,2,0.0,2,3
78,0,3,0,0,0,,2,0.0,2,3
79,1,2,0,0,2,,2,1.0,7,0
80,1,3,1,0,0,,2,2.0,4,3
81,0,3,0,0,0,,2,0.0,3,2
82,1,3,0,0,0,,2,0.0,3,3
83,1,3,1,0,0,,3,2.0,1,2
84,0,1,0,0,0,,2,0.0,8,3
85,1,2,1,0,0,,2,2.0,3,2
86,1,3,1,3,0,,2,3.0,5,4
87,0,3,0,1,3,,2,0.0,7,1
88,0,3,0,0,0,,2,0.0,2,3
89,1,1,1,3,2,C23 C25 C27,2,2.0,9,2
90,0,3,0,0,0,,2,0.0,2,2
91,0,3,0,0,0,,2,0.0,2,3
92,0,3,0,0,0,,2,0.0,1,2
93,0,1,0,1,0,E31,2,0.0,8,5
94,0,3,0,1,2,,2,0.0,5,3
95,0,3,0,0,0,,2,0.0,0,7
96,0,3,0,0,0,,2,0.0,2,3
97,0,1,0,0,0,A5,1,0.0,7,8
98,1,1,0,0,1,D10 D12,1,0.0,8,2
99,1,2,1,0,1,,2,3.0,6,4
100,0,2,0,1,0,,2,0.0,6,4
101,0,3,1,0,0,,2,2.0,2,3
102,0,3,0,0,0,,2,0.0,2,3
103,0,1,0,0,1,D26,2,0.0,8,2
104,0,3,0,0,0,,2,0.0,3,4
105,0,3,0,2,0,,2,0.0,2,4
106,0,3,0,0,0,,2,0.0,2,3
107,1,3,1,0,0,,2,2.0,1,2
108,1,3,0,0,0,,2,0.0,1,3
109,0,3,0,0,0,,2,0.0,2,4
110,1,3,1,1,0,,3,2.0,6,2
111,0,1,0,0,0,C110,2,0.0,8,5
112,0,3,1,1,0,,1,2.0,4,1
113,0,3,0,0,0,,2,0.0,2,2
114,0,3,1,1,0,,2,2.0,3,2
115,0,3,1,0,0,,1,2.0,5,2
116,0,3,0,0,0,,2,0.0,2,2
117,0,3,0,0,0,,3,0.0,1,8
118,0,2,0,1,0,,2,0.0,5,3
119,0,1,0,0,1,B58 B60,1,0.0,9,2
120,0,3,1,4,2,,2,2.0,7,0
121,0,2,0,2,0,,2,0.0,8,2
122,0,3,0,0,0,,2,0.0,2,3
123,0,2,0,1,0,,1,0.0,7,4
124,1,2,1,0,0,E101,2,2.0,4,4
125,0,1,0,0,1,D26,2,0.0,8,6
126,1,3,0,1,0,,1,1.0,4,1
127,0,3,0,0,0,,3,0.0,1,3
128,1,3,0,0,0,,2,0.0,0,2
129,1,3,1,1,1,F E69,1,2.0,6,2
130,0,3,0,0,0,,2,0.0,0,5
131,0,3,0,0,0,,1,0.0,2,4
132,0,3,0,0,0,,2,0.0,0,2
133,0,3,1,1,0,,2,3.0,5,5
134,1,2,1,1,0,,2,3.0,6,3
135,0,2,0,0,0,,2,0.0,4,3
136,0,2,0,0,0,,1,0.0,5,2
137,1,1,1,0,2,D47,2,2.0,6,2
138,0,1,0,1,0,C123,2,0.0,8,4
139,0,3,0,0,0,,2,0.0,3,1
140,0,1,0,0,0,B86,1,0.0,9,2
141,0,3,1,0,2,,1,3.0,5,4
142,1,3,1,0,0,,2,2.0,1,2
143,1,3,1,1,0,,2,3.0,5,2
144,0,3,0,0,0,,3,0.0,0,2
145,0,2,0,0,0,,2,0.0,4,2
146,0,2,0,1,1,,2,0.0,7,2
147,1,3,0,0,0,,2,0.0,1,3
148,0,3,1,2,2,,2,2.0,7,1
149,0,2,0,0,2,F2,2,0.0,6,4
150,0,2,0,0,0,,2,4.0,4,5
151,0,2,0,0,0,,2,4.0,4,6
152,1,1,1,1,0,C2,2,3.0,8,2
153,0,3,0,0,0,,2,0.0,2,6
154,0,3,0,0,2,,2,0.0,5,5
155,0,3,0,0,0,,2,0.0,0,3
156,0,1,0,0,1,,1,0.0,8,6
157,1,3,1,0,0,,3,2.0,1,1
158,0,3,0,0,0,,2,0.0,2,3
159,0,3,0,0,0,,2,0.0,3,3
160,0,3,0,5,2,,2,1.0,8,0
161,0,3,0,0,1,,2,0.0,5,5
162,1,2,1,0,0,,2,3.0,5,4
163,0,3,0,0,0,,2,0.0,1,3
164,0,3,0,0,0,,2,0.0,3,2
165,0,3,0,4,1,,2,1.0,7,0
166,1,3,0,0,2,,2,1.0,5,1
167,1,1,1,0,1,E33,2,3.0,8,4
168,0,3,1,1,4,,2,3.0,7,5
169,0,1,0,0,0,,2,0.0,6,3
170,0,3,0,0,0,,2,0.0,8,3
171,0,1,0,0,0,B19,2,0.0,7,7
172,0,3,0,4,1,,3,1.0,7,0
173,1,3,1,1,1,,2,2.0,4,0
174,0,3,0,0,0,,2,0.0,2,2
175,0,1,0,0,0,A7,1,0.0,7,6
176,0,3,0,1,1,,2,0.0,1,2
177,0,3,0,3,1,,2,1.0,6,0
178,0,1,1,0,0,C49,1,2.0,7,6
179,0,2,0,0,0,,2,0.0,4,3
180,0,3,0,0,0,,2,0.0,0,4
181,0,3,1,5,2,,2,2.0,8,2
182,0,2,0,0,0,,1,0.0,5,3
183,0,3,0,4,2,,2,1.0,7,1
184,1,2,0,2,1,F4,2,1.0,7,0
185,1,3,1,0,2,,2,2.0,6,0
186,0,1,0,0,0,A32,2,0.0,8,3
187,1,3,1,1,0,,3,3.0,5,4
188,1,1,0,0,0,,2,0.0,6,5
189,0,3,0,1,1,,3,0.0,5,4
190,0,3,0,0,0,,2,0.0,2,4
191,1,2,1,0,0,,2,3.0,4,3
192,0,2,0,0,0,,2,0.0,4,2
193,1,3,1,1,0,,2,2.0,1,2
194,1,2,0,1,1,F2,2,1.0,6,0
195,1,1,1,0,0,B4,1,3.0,7,5
196,1,1,1,0,0,B80,1,2.0,9,7
197,0,3,0,0,0,,3,0.0,1,3
198,0,3,0,0,1,,2,0.0,3,5
199,1,3,1,0,0,,3,2.0,1,2
200,0,2,1,0,0,,2,2.0,4,2
201,0,3,0,0,0,,2,0.0,3,3
202,0,3,0,5,2,,2,0.0,8,3
203,0,3,0,0,0,,2,0.0,0,4
204,0,3,0,0,0,,1,0.0,0,5
205,1,3,0,0,0,,2,0.0,2,2
206,0,3,1,0,1,G6,2,2.0,3,0
207,0,3,0,1,0,,2,0.0,5,3
208,1,3,0,0,0,,1,0.0,5,3
209,1,3,1,0,0,,3,2.0,1,1
210,1,1,0,0,0,A31,1,0.0,7,4
211,0,3,0,0,0,,2,0.0,0,2
212,1,2,1,0,0,,2,2.0,5,4
213,0,3,0,0,0,,2,0.0,0,2
214,0,2,0,0,0,,2,0.0,4,3
215,0,3,0,1,0,,3,0.0,1,3
216,1,1,1,1,0,D36,1,2.0,9,3
217,1,3,1,0,0,,2,2.0,2,3
218,0,2,0,1,0,,2,0.0,6,5
219,1,1,1,0,0,D15,1,2.0,8,3
220,0,2,0,0,0,,2,0.0,3,3
221,1,3,0,0,0,,2,0.0,2,1
222,0,2,0,0,0,,2,0.0,4,3
223,0,3,0,0,0,,2,0.0,2,6
224,0,3,0,0,0,,2,0.0,2,3
225,1,1,0,1,0,C93,2,0.0,9,4
226,0,3,0,0,0,,2,0.0,3,2
227,1,2,0,0,0,,2,0.0,3,2
228,0,3,0,0,0,,2,0.0,0,2
229,0,2,0,0,0,,2,0.0,4,2
230,0,3,1,3,1,,2,2.0,6,2
231,1,1,1,1,0,C83,2,3.0,9,4
232,0,3,0,0,0,,2,0.0,1,3
233,0,2,0,0,0,,2,0.0,4,7
234,1,3,1,4,2,,2,2.0,7,0
235,0,2,0,0,0,,2,0.0,3,2
236,0,3,1,0,0,,2,2.0,0,2
237,0,2,0,1,0,,2,0.0,6,5
238,1,2,1,0,2,,2,2.0,6,0
239,0,2,0,0,0,,2,0.0,3,2
240,0,2,0,0,0,,2,0.0,4,4
241,0,3,1,1,0,,1,2.0,4,2
242,1,3,1,1,0,,3,2.0,5,2
243,0,2,0,0,0,,2,0.0,3,3
244,0,3,0,0,0,,2,0.0,0,2
245,0,3,0,0,0,,1,0.0,0,3
246,0,1,0,2,0,C78,3,1.0,9,5
247,0,3,1,0,0,,2,2.0,1,3
248,1,2,1,0,2,,2,3.0,5,2
249,1,1,0,1,1,D35,2,0.0,8,4
250,0,2,0,1,0,,2,4.0,6,6
251,0,3,0,0,0,,2,0.0,0,3
252,0,3,1,1,1,G6,2,3.0,3,3
253,0,1,0,0,0,C87,2,0.0,6,7
254,0,3,0,1,0,,2,0.0,5,3
255,0,3,1,0,2,,2,3.0,5,5
256,1,3,1,0,2,,1,3.0,5,3
257,1,1,1,0,0,,1,3.0,9,4
258,1,1,1,0,0,B77,2,2.0,9,3
259,1,1,1,0,0,,1,2.0,9,4
260,1,2,1,0,1,,2,3.0,6,6
261,0,3,0,0,0,,3,0.0,1,3
262,1,3,0,4,2,,2,1.0,7,0
263,0,1,0,1,1,E67,2,0.0,9,6
264,0,1,0,0,0,B94,2,0.0,0,4
265,0,3,1,0,0,,3,2.0,1,2
266,0,2,0,0,0,,2,0.0,3,4
267,0,3,0,4,1,,2,0.0,7,1
268,1,3,0,1,0,,2,0.0,1,3
269,1,1,1,0,1,C125,2,3.0,9,7
270,1,1,1,0,0,C99,2,2.0,9,4
271,0,1,0,0,0,,2,0.0,7,3
272,1,3,0,0,0,,2,0.0,0,3
273,1,2,1,0,1,,2,3.0,5,5
274,0,1,0,0,1,C118,1,0.0,7,4
275,1,3,1,0,0,,3,2.0,1,2
276,1,1,1,1,0,D7,2,2.0,8,7
277,0,3,1,0,0,,2,2.0,1,5
278,0,2,0,0,0,,2,0.0,0,3
279,0,3,0,4,1,,3,1.0,7,0
280,1,3,1,1,1,,2,3.0,5,4
281,0,3,0,0,0,,3,0.0,1,8
282,0,3,0,0,0,,2,0.0,1,3
283,0,3,0,0,0,,2,0.0,3,1
284,1,3,0,0,0,,2,0.0,2,2
285,0,1,0,0,0,A19,2,0.0,6,3
286,0,3,0,0,0,,1,0.0,3,4
287,1,3,0,0,0,,2,0.0,3,3
288,0,3,0,0,0,,2,0.0,2,2
289,1,2,0,0,0,,2,0.0,4,5
290,1,3,1,0,0,,3,2.0,1,2
291,1,1,1,0,0,,2,2.0,9,3
292,1,1,1,1,0,B49,1,3.0,9,2
293,0,2,0,0,0,D,1,0.0,4,4
294,0,3,1,0,0,,2,2.0,3,2
295,0,3,0,0,0,,2,0.0,2,2
296,0,1,0,0,0,,1,0.0,7,3
297,0,3,0,0,0,,1,0.0,0,2
298,0,1,1,1,2,C22 C26,2,2.0,9,0
299,1,1,0,0,0,C106,2,0.0,7,3
300,1,1,1,0,1,B58 B60,1,3.0,9,6
301,1,3,1,0,0,,3,2.0,1,2
302,1,3,0,2,0,,3,0.0,6,3
303,0,3,0,0,0,,2,0.0,0,2
304,1,2,1,0,0,E101,3,2.0,4,2
305,0,3,0,0,0,,2,0.0,2,3
306,1,1,0,1,2,C22 C26,2,1.0,9,0
307,1,1,1,0,0,,1,2.0,9,2
308,1,1,1,1,0,C65,1,3.0,9,2
309,0,2,0,1,0,,1,0.0,6,3
310,1,1,1,0,0,E36,1,2.0,8,3
311,1,1,1,0,0,C54,1,2.0,9,2
312,1,1,1,2,2,B57 B59 B63 B66,1,2.0,9,2
313,0,2,1,1,1,,2,3.0,6,3
314,0,3,0,0,0,,2,0.0,2,3
315,0,2,0,1,1,,2,0.0,6,5
316,1,3,1,0,0,,2,2.0,1,3
317,1,2,1,1,0,,2,3.0,6,2
318,0,2,0,0,0,,2,1.0,4,6
319,1,1,1,0,2,C7,2,2.0,9,3
320,1,1,1,1,1,E34,1,3.0,9,4
321,0,3,0,0,0,,2,0.0,0,2
322,0,3,0,0,0,,2,0.0,2,3
323,1,2,1,0,0,,3,2.0,4,3
324,1,2,1,1,1,,2,3.0,7,2
325,0,3,0,5,2,,2,0.0,8,3
326,1,1,1,0,0,C32,1,2.0,9,4
327,0,3,0,0,0,,2,0.0,0,7
328,1,2,1,0,0,D,2,3.0,4,4
329,1,3,1,1,1,,2,3.0,5,3
330,1,1,1,0,1,B18,1,2.0,8,1
331,1,3,1,2,0,,3,2.0,6,2
332,0,1,0,0,0,C124,2,0.0,7,5
333,0,1,0,0,1,C91,2,0.0,9,4
334,0,3,0,2,0,,2,0.0,5,1
335,1,1,1,1,0,,2,3.0,9,4
336,0,3,0,0,0,,2,0.0,2,3
337,0,1,0,1,0,C2,2,0.0,8,3
338,1,1,1,0,0,E40,1,2.0,9,5
339,1,3,0,0,0,,2,0.0,2,5
340,0,1,0,0,0,T,2,0.0,7,5
341,1,2,0,1,1,F2,2,1.0,6,0
342,1,1,1,3,2,C23 C25 C27,2,2.0,9,2
343,0,2,0,0,0,,2,0.0,4,3
344,0,2,0,0,0,,2,0.0,4,3
345,0,2,0,0,0,,2,0.0,4,4
346,1,2,1,0,0,F33,2,2.0,4,2
347,1,2,1,0,0,,2,2.0,4,4
348,1,3,1,1,0,,2,3.0,5,4
349,1,3,0,1,1,,2,1.0,5,0
350,0,3,0,0,0,,2,0.0,3,5
351,0,3,0,0,0,,2,0.0,3,2
352,0,1,0,0,0,C128,2,0.0,7,3
353,0,3,0,1,1,,1,0.0,0,1
354,0,3,0,1,0,,2,0.0,5,3
355,0,3,0,0,0,,1,0.0,0,3
356,0,3,0,0,0,,2,0.0,3,3
357,1,1,1,0,1,E33,2,2.0,8,2
358,0,2,1,0,0,,2,2.0,4,4
359,1,3,1,0,0,,3,2.0,2,2
360,1,3,1,0,0,,3,2.0,2,2
361,0,3,0,1,4,,2,0.0,7,4
362,0,2,0,1,0,,1,0.0,7,3
363,0,3,1,0,1,,1,3.0,4,5
364,0,3,0,0,0,,2,0.0,0,4
365,0,3,0,1,0,,3,0.0,5,3
366,0,3,0,0,0,,2,0.0,0,3
367,1,1,1,1,0,D37,1,3.0,8,7
368,1,3,1,0,0,,1,3.0,0,4
369,1,3,1,0,0,,3,2.0,1,2
370,1,1,1,0,0,B35,1,4.0,8,2
371,1,1,0,1,0,E50,1,0.0,8,3
372,0,3,0,1,0,,2,0.0,0,2
373,0,3,0,0,0,,2,0.0,2,2
374,0,1,0,0,0,,1,0.0,9,2
375,0,3,1,3,1,,2,2.0,5,0
376,1,1,1,1,0,,1,3.0,9,4
377,1,3,1,0,0,,2,2.0,0,2
378,0,1,0,0,2,C82,1,0.0,9,3
379,0,3,0,0,0,,1,0.0,0,2
380,0,3,0,0,0,,2,0.0,1,2
381,1,1,1,0,0,,1,2.0,9,5
382,1,3,1,0,2,,1,2.0,5,0
383,0,3,0,0,0,,2,0.0,2,3
384,1,1,1,1,0,,2,3.0,8,4
385,0,3,0,0,0,,2,0.0,2,3
386,0,2,0,0,0,,2,0.0,8,2
387,0,3,0,5,2,,2,1.0,8,0
388,1,2,1,0,0,,2,2.0,4,4
389,0,3,0,0,0,,3,0.0,1,3
390,1,2,1,0,0,,1,2.0,4,2
391,1,1,0,1,2,B96 B98,2,0.0,9,4
392,1,3,0,0,0,,2,0.0,1,2
393,0,3,0,2,0,,2,0.0,2,3
394,1,1,1,1,0,D36,1,2.0,9,2
395,1,3,1,0,2,G6,2,3.0,5,2
396,0,3,0,0,0,,2,0.0,1,2
397,0,3,1,0,0,,2,2.0,1,3
398,0,2,0,0,0,,2,0.0,6,5
399,0,2,0,0,0,,2,1.0,3,2
400,1,2,1,0,0,,2,3.0,4,3
401,1,3,0,0,0,,2,0.0,2,4
402,0,3,0,0,0,,2,0.0,2,3
403,0,3,1,1,0,,2,2.0,3,2
404,0,3,0,1,0,,2,0.0,5,3
405,0,3,1,0,0,,2,2.0,3,2
406,0,2,0,1,0,,2,0.0,5,4
407,0,3,0,0,0,,2,0.0,1,6
408,1,2,0,1,1,,2,1.0,5,0
409,0,3,0,0,0,,2,0.0,1,2
410,0,3,1,3,1,,2,2.0,6,2
411,0,3,0,0,0,,2,0.0,2,3
412,0,3,0,0,0,,3,0.0,0,3
413,1,1,1,1,0,C78,3,2.0,9,4
414,0,2,0,0,0,,2,0.0,0,3
415,1,3,0,0,0,,2,0.0,2,5
416,0,3,1,0,0,,2,3.0,2,4
417,1,2,1,1,1,,2,3.0,7,4
418,1,2,1,0,2,,2,2.0,4,2
419,0,2,0,0,0,,2,0.0,4,3
420,0,3,1,0,2,,2,2.0,6,1
421,0,3,0,0,0,,1,0.0,2,3
422,0,3,0,0,0,,3,0.0,1,2
423,0,3,0,0,0,,2,0.0,2,3
424,0,3,1,1,1,,2,3.0,4,3
425,0,3,0,1,1,,2,0.0,5,2
426,0,3,0,0,0,,2,0.0,0,3
427,1,2,1,1,0,,2,3.0,6,3
428,1,2,1,0,0,,2,2.0,6,2
429,0,3,0,0,0,,3,0.0,1,3
430,1,3,0,0,0,E10,2,0.0,2,3
431,1,1,0,0,0,C52,2,0.0,6,3
432,1,3,1,1,0,,2,3.0,5,4
433,1,2,1,1,0,,2,3.0,6,5
434,0,3,0,0,0,,2,0.0,0,2
435,0,1,0,1,0,E44,2,0.0,8,6
436,1,1,1,1,2,B96 B98,2,2.0,9,1
437,0,3,1,2,2,,2,2.0,7,2
438,1,2,1,2,3,,2,3.0,5,2
439,0,1,0,1,4,C23 C25 C27,2,0.0,9,7
440,0,2,0,0,0,,2,0.0,3,3
441,1,2,1,1,1,,2,3.0,6,5
442,0,3,0,0,0,,2,0.0,3,2
443,0,3,0,1,0,,2,0.0,1,3
444,1,2,1,0,0,,2,3.0,4,3
445,1,3,0,0,0,,2,0.0,3,3
446,1,1,0,0,2,A34,2,1.0,9,0
447,1,2,1,0,1,,2,2.0,5,1
448,1,1,0,0,0,,2,0.0,6,4
449,1,3,1,2,1,,1,2.0,5,0
450,1,1,0,0,0,C104,2,1.0,7,6
451,0,2,0,1,2,,2,0.0,7,4
452,0,3,0,1,0,,2,0.0,5,3
453,0,1,0,0,0,C111,1,0.0,7,3
454,1,1,0,1,0,C92,1,0.0,9,6
455,0,3,0,0,0,,2,0.0,2,3
456,1,3,0,0,0,,1,0.0,2,3
457,0,1,0,0,0,E38,2,0.0,6,8
458,1,1,1,1,0,D21,2,3.0,8,4
459,1,2,1,0,0,,2,2.0,3,6
460,0,3,0,0,0,,3,0.0,1,3
461,1,1,0,0,0,E12,2,0.0,6,5
462,0,3,0,0,0,,2,0.0,2,4
463,0,1,0,0,0,E63,2,0.0,7,5
464,0,2,0,0,0,,2,0.0,4,5
465,0,3,0,0,0,,2,0.0,2,3
466,0,3,0,0,0,,2,0.0,0,4
467,0,2,0,0,0,,2,0.0,0,3
468,0,1,0,0,0,,2,0.0,6,6
469,0,3,0,0,0,,3,0.0,1,3
470,1,3,1,2,1,,1,2.0,5,0
471,0,3,0,0,0,,2,0.0,0,3
472,0,3,0,0,0,,2,0.0,3,4
473,1,2,1,1,2,,2,3.0,7,4
474,1,2,1,0,0,D,1,3.0,4,2
475,0,3,1,0,0,,2,2.0,3,2
476,0,1,0,0,0,A14,2,0.0,8,3
477,0,2,0,1,0,,2,0.0,5,4
478,0,3,0,1,0,,2,0.0,0,3
479,0,3,0,0,0,,2,0.0,0,2
480,1,3,1,0,1,,2,2.0,4,0
481,0,3,0,5,2,,2,1.0,8,1
482,0,2,0,0,0,,2,0.0,0,3
483,0,3,0,0,0,,2,0.0,2,6
484,1,3,1,0,0,,2,3.0,3,7
485,1,1,0,1,0,B49,1,0.0,9,3
486,0,3,1,3,1,,2,2.0,6,2
487,1,1,1,1,0,C93,2,3.0,9,4
488,0,1,0,0,0,B37,1,0.0,7,7
489,0,3,0,0,0,,2,0.0,2,3
490,1,3,0,1,1,,2,1.0,5,1
491,0,3,0,1,0,,2,0.0,5,3
492,0,3,0,0,0,,2,0.0,0,2
493,0,1,0,0,0,C30,2,0.0,7,6
494,0,1,0,0,0,,1,0.0,8,8
495,0,3,0,0,0,,2,0.0,2,2
496,0,3,0,0,0,,1,0.0,5,3
497,1,1,1,1,0,D20,1,2.0,9,6
498,0,3,0,0,0,,2,0.0,5,3
499,0,1,1,1,2,C22 C26,2,3.0,9,3
500,0,3,0,0,0,,2,0.0,1,2
501,0,3,0,0,0,,2,0.0,3,2
502,0,3,1,0,0,,3,2.0,1,2
503,0,3,1,0,0,,3,2.0,1,2
504,0,3,1,0,0,,2,2.0,3,4
505,1,1,1,0,0,B79,2,2.0,9,1
506,0,1,0,1,0,C65,1,0.0,9,2
507,1,2,1,0,2,,2,3.0,6,4
508,1,1,0,0,0,,2,0.0,6,3
509,0,3,0,0,0,,2,0.0,6,3
510,1,3,0,0,0,,2,0.0,8,3
511,1,3,0,0,0,,3,0.0,1,3
512,0,3,0,0,0,,2,0.0,2,3
513,1,1,0,0,0,E25,2,0.0,6,4
514,1,1,1,1,0,,1,3.0,8,6
515,0,3,0,0,0,,2,0.0,0,2
516,0,1,0,0,0,D46,2,0.0,7,5
517,1,2,1,0,0,F33,2,3.0,3,4
518,0,3,0,0,0,,3,0.0,6,3
519,1,2,1,1,0,,2,3.0,6,4
520,0,3,0,0,0,,2,0.0,2,3
521,1,1,1,0,0,B73,2,2.0,9,3
522,0,3,0,0,0,,2,0.0,2,2
523,0,3,0,0,0,,1,0.0,0,3
524,1,1,1,0,1,B18,1,3.0,8,5
525,0,3,0,0,0,,1,0.0,0,3
526,0,3,0,0,0,,3,0.0,1,5
527,1,2,1,0,0,,2,2.0,3,6
528,0,1,0,0,0,C95,2,0.0,9,3
529,0,3,0,0,0,,2,0.0,2,4
530,0,2,0,2,1,,2,0.0,4,2
531,1,2,1,1,1,,2,2.0,6,0
532,0,3,0,0,0,,1,0.0,0,3
533,0,3,0,1,1,,1,0.0,0,2
534,1,3,1,0,2,,1,3.0,6,4
535,0,3,1,0,0,,2,2.0,3,3
536,1,2,1,0,2,,2,2.0,6,0
537,0,1,0,0,0,B38,2,1.0,6,5
538,1,1,1,0,0,,1,2.0,9,3
539,0,3,0,0,0,,2,0.0,5,3
540,1,1,1,0,2,B39,1,2.0,8,2
541,1,1,1,0,2,B22,2,2.0,8,4
542,0,3,1,4,2,,2,2.0,7,1
543,0,3,1,4,2,,2,2.0,7,1
544,1,2,0,1,0,,2,0.0,6,3
545,0,1,0,1,0,C86,1,0.0,9,6
546,0,1,0,0,0,,2,0.0,6,7
547,1,2,1,1,0,,2,3.0,6,2
548,1,2,0,0,0,,1,0.0,4,3
549,0,3,0,1,1,,2,0.0,5,4
550,1,2,0,1,1,,2,1.0,7,0
551,1,1,0,0,2,C70,1,0.0,9,2
552,0,2,0,0,0,,2,0.0,6,3
553,0,3,0,0,0,,3,0.0,1,3
554,1,3,0,0,0,,1,0.0,0,2
555,1,3,1,0,0,,2,2.0,1,2
556,0,1,0,0,0,,2,0.0,6,7
557,1,1,1,1,0,A16,1,3.0,7,5
558,0,1,0,0,0,,1,0.0,9,3
559,1,1,1,1,1,E67,2,3.0,9,4
560,1,3,1,1,0,,2,3.0,5,4
561,0,3,0,0,0,,3,0.0,1,3
562,0,3,0,0,0,,2,0.0,2,4
563,0,2,0,0,0,,2,0.0,4,3
564,0,3,0,0,0,,2,0.0,2,3
565,0,3,1,0,0,,2,2.0,2,2
566,0,3,0,2,0,,2,0.0,6,2
567,0,3,0,0,0,,2,0.0,2,2
568,0,3,1,0,4,,2,3.0,5,3
569,0,3,0,0,0,,1,0.0,0,3
570,1,3,0,0,0,,2,0.0,1,3
571,1,2,0,0,0,,2,0.0,3,7
572,1,1,1,2,0,C101,2,3.0,8,6
573,1,1,0,0,0,E25,2,0.0,6,4
574,1,3,1,0,0,,3,2.0,1,2
575,0,3,0,0,0,,2,0.0,2,1
576,0,3,0,0,0,,2,0.0,5,2
577,1,2,1,0,0,,2,2.0,4,4
578,1,1,1,1,0,E44,2,3.0,8,4
579,0,3,1,1,0,,1,3.0,5,4
580,1,3,0,0,0,,2,0.0,2,3
581,1,2,1,1,1,,2,2.0,7,3
582,1,1,1,1,1,C68,1,3.0,9,4
583,0,2,0,0,0,,2,0.0,6,6
584,0,1,0,0,0,A10,1,0.0,8,4
585,0,3,0,0,0,,1,0.0,3,3
586,1,1,1,0,2,E68,2,2.0,9,2
587,0,2,0,0,0,,2,0.0,5,5
588,1,1,0,1,1,B41,1,0.0,9,7
589,0,3,0,0,0,,2,0.0,2,2
