age,workclass,education,gender,hours-per-week,occupation,income
53, Self-emp-not-inc, Bachelors, Male,40, Prof-specialty, <=50K
24, Private, Bachelors, Male,50, Tech-support, <=50K
49, Private, HS-grad, Female,40, Adm-clerical, <=50K
25, Private, HS-grad, Male,35, Handlers-cleaners, <=50K
57, Federal-gov, Bachelors, Male,40, Prof-specialty, >50K
53, Private, HS-grad, Male,38, Machine-op-inspct, <=50K
44, Private, Masters, Female,40, Exec-managerial, <=50K
41, State-gov, Assoc-voc, Male,40, Craft-repair, <=50K
29, Private, Assoc-voc, Male,43, Prof-specialty, <=50K
25, Private, Some-college, Female,40, Exec-managerial, <=50K
18, Private, HS-grad, Female,30, Other-service, <=50K
47, Private, Prof-school, Female,60, Prof-specialty, >50K
50, Federal-gov, Bachelors, Male,55, Exec-managerial, >50K
47, Self-emp-inc, HS-grad, Male,60, Exec-managerial, <=50K
43, Private, Some-college, Male,40, Tech-support, >50K
46, Private, 5th-6th, Male,40, Machine-op-inspct, <=50K
35, Private, Assoc-voc, Male,40, Other-service, <=50K
41, Private, HS-grad, Male,48, Adm-clerical, <=50K
30, Private, HS-grad, Male,40, Machine-op-inspct, <=50K
30, Private, Bachelors, Male,40, Sales, <=50K
32, ?, 7th-8th, Male,40, ?, <=50K
48, Private, HS-grad, Male,40, Transport-moving, <=50K
42, Private, Doctorate, Male,45, Prof-specialty, >50K
29, Private, Some-college, Male,58, Tech-support, <=50K
36, Private, HS-grad, Male,40, Craft-repair, <=50K
28, Private, Some-college, Female,40, Adm-clerical, <=50K
53, Private, HS-grad, Female,40, Adm-clerical, >50K
49, Self-emp-inc, Some-college, Male,50, Exec-managerial, >50K
25, ?, Some-college, Male,40, ?, <=50K
19, Private, Some-college, Male,32, Prof-specialty, <=50K
31, Private, Bachelors, Female,40, Sales, <=50K
29, Self-emp-not-inc, Bachelors, Male,70, Sales, >50K
23, Private, Some-college, Male,40, Machine-op-inspct, <=50K
79, Private, Some-college, Male,20, Prof-specialty, <=50K
27, Private, HS-grad, Male,40, Other-service, <=50K
40, Private, Assoc-acdm, Male,40, Adm-clerical, <=50K
67, ?, 10th, Male,2, ?, <=50K
18, Private, 11th, Female,22, Other-service, <=50K
31, Local-gov, 7th-8th, Male,40, Farming-fishing, <=50K
18, Private, HS-grad, Male,30, Sales, <=50K
52, Private, Bachelors, Male,40, Other-service, <=50K
46, Private, HS-grad, Female,40, Other-service, <=50K
59, Private, HS-grad, Male,48, Sales, <=50K
44, Private, HS-grad, Female,40, Craft-repair, >50K
53, Private, HS-grad, Female,35, Sales, <=50K
49, Local-gov, HS-grad, Male,40, Protective-serv, >50K
33, Private, Masters, Male,50, Prof-specialty, <=50K
30, Private, 9th, Male,40, Sales, <=50K
43, Federal-gov, Doctorate, Female,50, Prof-specialty, >50K
57, Private, Assoc-voc, Male,40, Prof-specialty, <=50K
37, Private, Some-college, Female,40, Craft-repair, <=50K
28, Private, Some-college, Female,25, Machine-op-inspct, <=50K
30, Private, HS-grad, Female,35, Sales, <=50K
34, Local-gov, Bachelors, Male,40, Protective-serv, >50K
29, Local-gov, Some-college, Male,50, Handlers-cleaners, <=50K
48, Self-emp-not-inc, Doctorate, Male,60, Prof-specialty, >50K
37, Private, Some-college, Male,48, Sales, >50K
48, Private, Assoc-acdm, Female,40, Exec-managerial, <=50K
32, Federal-gov, HS-grad, Male,40, Other-service, <=50K
76, Private, Masters, Male,40, Exec-managerial, >50K
44, Private, Bachelors, Male,60, Exec-managerial, >50K
47, Self-emp-not-inc, Masters, Female,50, Prof-specialty, <=50K
20, Private, Some-college, Female,40, Tech-support, <=50K
29, Private, HS-grad, Male,40, Craft-repair, <=50K
32, Self-emp-inc, HS-grad, Male,40, Craft-repair, >50K
17, ?, 10th, Female,32, ?, <=50K
30, Private, 11th, Male,40, Handlers-cleaners, <=50K
31, Local-gov, HS-grad, Female,40, Adm-clerical, <=50K
42, Private, HS-grad, Male,40, Handlers-cleaners, <=50K
24, Private, Bachelors, Male,40, Sales, <=50K
38, Private, Prof-school, Male,40, Prof-specialty, >50K
56, Self-emp-not-inc, HS-grad, Male,50, Other-service, >50K
28, Private, Some-college, Female,25, Sales, <=50K
36, Private, HS-grad, Female,40, Machine-op-inspct, <=50K
53, Private, 9th, Male,50, Handlers-cleaners, <=50K
56, Self-emp-inc, Some-college, Male,50, Sales, <=50K
49, Local-gov, Assoc-voc, Male,40, Craft-repair, >50K
55, Private, Some-college, Male,56, Sales, <=50K
22, Private, HS-grad, Male,41, Craft-repair, <=50K
21, Private, Some-college, Female,40, Other-service, <=50K
40, Private, Bachelors, Male,60, Exec-managerial, <=50K
30, Private, Bachelors, Male,40, Exec-managerial, <=50K
29, State-gov, Bachelors, Male,50, Prof-specialty, >50K
19, Private, Some-college, Male,35, Other-service, <=50K
47, Private, Bachelors, Female,40, Exec-managerial, >50K
20, Private, Some-college, Female,28, Adm-clerical, <=50K
31, Private, Assoc-acdm, Male,40, Adm-clerical, >50K
35, ?, HS-grad, Male,40, ?, <=50K
39, Private, Some-college, Male,40, Craft-repair, <=50K
28, Private, Assoc-acdm, Female,60, Sales, <=50K
24, Private, HS-grad, Female,40, Other-service, <=50K
38, Self-emp-not-inc, HS-grad, Male,35, Craft-repair, <=50K
37, Private, Bachelors, Male,50, Sales, <=50K
46, Private, Assoc-acdm, Female,36, Tech-support, <=50K
38, Federal-gov, Masters, Male,40, Prof-specialty, >50K
43, Self-emp-not-inc, HS-grad, Male,60, Craft-repair, <=50K
27, Private, Assoc-voc, Female,35, Adm-clerical, <=50K
20, Private, Some-college, Male,20, Sales, <=50K
49, Private, Some-college, Male,40, Craft-repair, >50K
61, Self-emp-inc, HS-grad, Male,40, Craft-repair, <=50K
27, Private, Some-college, Female,40, Sales, <=50K
19, Private, Some-college, Male,30, Other-service, <=50K
45, Private, Assoc-voc, Female,40, Prof-specialty, >50K
70, Private, Some-college, Male,40, Tech-support, <=50K
31, Private, HS-grad, Female,30, Transport-moving, <=50K
22, Private, Some-college, Male,24, Other-service, <=50K
36, Private, HS-grad, Female,24, Other-service, <=50K
64, Private, 11th, Male,40, Craft-repair, <=50K
43, ?, Some-college, Female,40, ?, <=50K
47, Local-gov, Some-college, Female,38, Adm-clerical, <=50K
34, Private, HS-grad, Female,40, Adm-clerical, <=50K
33, Private, Bachelors, Female,40, Exec-managerial, <=50K
21, Private, HS-grad, Male,35, Craft-repair, <=50K
52, ?, HS-grad, Male,45, ?, >50K
48, Private, HS-grad, Male,46, Craft-repair, <=50K
23, Private, Bachelors, Male,40, Handlers-cleaners, <=50K
71, Self-emp-not-inc, Some-college, Male,2, Sales, <=50K
29, Private, HS-grad, Male,60, Craft-repair, <=50K
42, Private, Bachelors, Male,50, Other-service, <=50K
68, ?, 1st-4th, Female,20, ?, <=50K
25, Private, HS-grad, Female,40, Other-service, <=50K
44, Self-emp-inc, Masters, Female,40, Exec-managerial, <=50K
28, Private, HS-grad, Female,40, Exec-managerial, <=50K
45, Self-emp-not-inc, Masters, Male,40, Sales, >50K
36, Private, Some-college, Female,40, Other-service, <=50K
39, Federal-gov, Assoc-acdm, Male,42, Exec-managerial, <=50K
46, State-gov, Masters, Male,40, Protective-serv, <=50K
18, Private, 11th, Male,16, Handlers-cleaners, <=50K
66, Local-gov, Assoc-voc, Female,20, Prof-specialty, <=50K
27, Private, HS-grad, Male,40, Other-service, <=50K
28, State-gov, HS-grad, Male,40, Protective-serv, <=50K
51, Private, Some-college, Male,40, Sales, >50K
27, Private, Bachelors, Male,50, Craft-repair, <=50K
28, State-gov, Bachelors, Male,40, Prof-specialty, >50K
27, Private, HS-grad, Female,25, Sales, <=50K
21, Private, HS-grad, Male,40, Craft-repair, <=50K
34, Private, HS-grad, Male,40, Handlers-cleaners, <=50K
18, Private, HS-grad, Male,12, Other-service, <=50K
33, Private, Bachelors, Male,65, Prof-specialty, <=50K
44, Local-gov, Some-college, Male,38, Exec-managerial, >50K
43, Private, Some-college, Female,40, Adm-clerical, <=50K
30, Private, Some-college, Male,45, Craft-repair, <=50K
40, Private, 7th-8th, Male,40, Machine-op-inspct, >50K
37, Federal-gov, Some-college, Male,42, Adm-clerical, >50K
34, Private, HS-grad, Male,40, Adm-clerical, <=50K
41, Self-emp-not-inc, Bachelors, Female,40, Exec-managerial, <=50K
53, ?, Bachelors, Female,50, ?, <=50K
31, Private, Masters, Female,50, Prof-specialty, <=50K
58, State-gov, Doctorate, Male,1, Prof-specialty, >50K
38, Private, Some-college, Female,28, Machine-op-inspct, <=50K
24, Private, Some-college, Male,40, Machine-op-inspct, <=50K
41, Local-gov, Bachelors, Male,40, Craft-repair, <=50K
47, Private, Some-college, Male,45, Tech-support, <=50K
41, Federal-gov, Bachelors, Male,24, Tech-support, <=50K
23, Private, 5th-6th, Male,40, Transport-moving, <=50K
36, Private, Some-college, Male,40, Craft-repair, <=50K
40, Federal-gov, Masters, Female,55, Exec-managerial, >50K
35, Private, Masters, Male,40, Prof-specialty, >50K
24, Self-emp-not-inc, HS-grad, Male,40, Sales, <=50K
26, Private, Masters, Female,40, Prof-specialty, <=50K
19, ?, HS-grad, Male,40, ?, <=50K
51, Private, Bachelors, Male,50, Exec-managerial, >50K
42, Local-gov, Some-college, Female,40, Prof-specialty, <=50K
37, State-gov, HS-grad, Female,35, Adm-clerical, <=50K
18, Private, 11th, Female,40, Sales, <=50K
36, Private, Bachelors, Male,36, Other-service, >50K
35, Private, HS-grad, Male,60, Craft-repair, <=50K
58, Self-emp-inc, HS-grad, Female,35, Sales, >50K
17, Private, 11th, Female,12, Sales, <=50K
44, Local-gov, HS-grad, Male,40, Transport-moving, <=50K
37, Private, HS-grad, Male,40, Craft-repair, >50K
35, Private, Some-college, Female,40, Sales, <=50K
60, Private, HS-grad, Male,40, Craft-repair, <=50K
54, Self-emp-inc, 7th-8th, Male,40, Machine-op-inspct, >50K
37, Private, Bachelors, Male,60, Exec-managerial, >50K
50, Private, Assoc-acdm, Female,40, Sales, <=50K
38, Private, Bachelors, Male,50, Sales, <=50K
45, Private, Bachelors, Male,55, Prof-specialty, <=50K
25, Private, 10th, Male,40, Craft-repair, <=50K
31, Private, Some-college, Male,40, Handlers-cleaners, <=50K
64, ?, 1st-4th, Male,40, ?, <=50K
90, Private, HS-grad, Male,40, Other-service, <=50K
54, Private, HS-grad, Male,20, Adm-clerical, <=50K
53, Local-gov, Preschool, Female,35, Machine-op-inspct, <=50K
18, Private, HS-grad, Female,40, Sales, <=50K
60, ?, 10th, Female,10, ?, <=50K
66, Self-emp-not-inc, HS-grad, Male,50, Farming-fishing, <=50K
75, Private, Assoc-voc, Female,20, Adm-clerical, <=50K
65, Private, HS-grad, Female,40, Adm-clerical, <=50K
35, Private, 11th, Male,40, Transport-moving, <=50K
41, Private, HS-grad, Female,38, Sales, <=50K
25, Private, Some-college, Male,42, Adm-clerical, <=50K
33, Private, Some-college, Female,40, Craft-repair, <=50K
28, Private, Prof-school, Male,55, Prof-specialty, >50K
59, State-gov, HS-grad, Male,40, Other-service, <=50K
40, State-gov, Some-college, Female,38, Adm-clerical, <=50K
41, Private, Bachelors, Male,50, Exec-managerial, >50K
38, Local-gov, Masters, Male,70, Exec-managerial, >50K
23, Private, HS-grad, Male,40, Transport-moving, <=50K
40, Private, Bachelors, Male,40, Prof-specialty, >50K
41, Self-emp-not-inc, HS-grad, Female,20, Other-service, <=50K
24, State-gov, Assoc-acdm, Male,50, Protective-serv, <=50K
20, ?, Some-college, Male,20, ?, <=50K
38, Private, Some-college, Male,40, Craft-repair, <=50K
56, Private, HS-grad, Male,35, Adm-clerical, <=50K
58, Private, HS-grad, Male,45, Adm-clerical, >50K
32, Private, HS-grad, Female,34, Other-service, <=50K
40, Private, Assoc-acdm, Male,60, Tech-support, >50K
45, Private, HS-grad, Male,40, Adm-clerical, <=50K
41, Private, Prof-school, Female,40, Prof-specialty, >50K
42, Private, Bachelors, Female,40, Adm-clerical, <=50K
59, Local-gov, 10th, Female,30, Other-service, <=50K
19, Local-gov, Some-college, Male,40, Adm-clerical, <=50K
58, Private, Some-college, Male,20, Transport-moving, <=50K
42, Self-emp-not-inc, HS-grad, Male,40, Farming-fishing, >50K
20, Private, HS-grad, Female,40, Other-service, <=50K
32, Private, HS-grad, Female,30, Other-service, <=50K
45, Private, Assoc-voc, Female,45, Exec-managerial, <=50K
50, Private, 7th-8th, Male,40, Craft-repair, <=50K
36, Private, Bachelors, Female,40, Prof-specialty, <=50K
45, Private, HS-grad, Male,60, Sales, <=50K
17, Private, 11th, Male,12, Other-service, <=50K
59, Private, Some-college, Male,40, Sales, <=50K
26, Private, 11th, Male,40, Craft-repair, <=50K
37, Self-emp-inc, Some-college, Male,75, Exec-managerial, >50K
19, ?, Some-college, Male,24, ?, <=50K
64, Private, HS-grad, Male,40, Exec-managerial, >50K
33, Private, Bachelors, Female,45, Prof-specialty, <=50K
33, Private, HS-grad, Female,40, Craft-repair, >50K
61, Private, HS-grad, Male,40, Exec-managerial, >50K
17, Private, 9th, Male,24, Other-service, <=50K
50, Self-emp-not-inc, Masters, Male,98, Farming-fishing, <=50K
27, Local-gov, Masters, Male,35, Prof-specialty, <=50K
30, Private, HS-grad, Female,40, Prof-specialty, <=50K
43, Private, HS-grad, Male,40, Handlers-cleaners, <=50K
44, Private, Some-college, Male,40, Craft-repair, >50K
35, Private, Some-college, Female,40, Exec-managerial, <=50K
25, Private, Some-college, Female,40, Tech-support, <=50K
24, Private, Some-college, Female,48, Machine-op-inspct, >50K
22, Private, Bachelors, Female,15, Prof-specialty, <=50K
42, Local-gov, Some-college, Male,40, Craft-repair, >50K
34, Private, Assoc-acdm, Female,45, Sales, <=50K
60, Private, Bachelors, Female,42, Prof-specialty, <=50K
21, Private, HS-grad, Male,40, Handlers-cleaners, <=50K
57, Federal-gov, Masters, Male,40, Sales, >50K
41, Private, Prof-school, Male,60, Prof-specialty, >50K
50, Private, Some-college, Male,45, Other-service, <=50K
25, Private, Bachelors, Female,40, Exec-managerial, <=50K
50, Private, 7th-8th, Male,40, Craft-repair, <=50K
36, Private, Bachelors, Male,45, Prof-specialty, <=50K
31, Private, HS-grad, Female,40, Prof-specialty, <=50K
29, Local-gov, Bachelors, Male,56, Protective-serv, <=50K
21, Private, Some-college, Male,45, Sales, <=50K
27, Private, Bachelors, Female,40, Tech-support, <=50K
65, Private, HS-grad, Male,16, Transport-moving, <=50K
37, Self-emp-inc, Bachelors, Female,60, Sales, <=50K
39, ?, Masters, Female,40, ?, <=50K
24, Private, HS-grad, Male,40, Craft-repair, <=50K
38, Private, HS-grad, Male,80, Sales, <=50K
48, Private, Bachelors, Male,40, Adm-clerical, >50K
21, Private, Some-college, Female,25, Other-service, <=50K
31, Private, HS-grad, Male,45, Transport-moving, >50K
55, Private, HS-grad, Male,40, Sales, >50K
24, Private, Some-college, Female,40, Adm-clerical, <=50K
43, Private, HS-grad, Female,40, Adm-clerical, <=50K
26, Private, Assoc-acdm, Male,45, Tech-support, <=50K
46, Private, Assoc-acdm, Female,33, Prof-specialty, <=50K
35, Private, Assoc-acdm, Male,40, Adm-clerical, >50K
41, Self-emp-inc, Some-college, Male,54, Farming-fishing, >50K
26, Private, Bachelors, Male,40, Sales, <=50K
34, Private, Masters, Male,35, Exec-managerial, >50K
19, ?, Some-college, Female,25, ?, <=50K
36, Self-emp-not-inc, Bachelors, Female,40, Prof-specialty, >50K
22, Private, Some-college, Male,15, Sales, <=50K
24, Private, Some-college, Male,40, Machine-op-inspct, <=50K
77, Self-emp-not-inc, Some-college, Male,40, Sales, <=50K
22, Private, 5th-6th, Female,40, Machine-op-inspct, <=50K
29, Private, Some-college, Female,40, Tech-support, <=50K
62, Private, HS-grad, Female,24, Other-service, <=50K
39, Self-emp-not-inc, HS-grad, Male,40, Exec-managerial, <=50K
43, Private, Some-college, Male,50, Craft-repair, <=50K
35, Private, HS-grad, Male,45, Transport-moving, <=50K
29, Private, 11th, Female,40, Exec-managerial, <=50K
76, Self-emp-not-inc, Masters, Male,10, Craft-repair, <=50K
63, Self-emp-not-inc, HS-grad, Male,45, Farming-fishing, <=50K
23, ?, Assoc-voc, Female,15, ?, <=50K
43, Private, Some-college, Female,50, Prof-specialty, >50K
58, Self-emp-not-inc, HS-grad, Male,40, Handlers-cleaners, <=50K
66, Private, HS-grad, Male,55, Transport-moving, <=50K
41, Private, Some-college, Male,45, Craft-repair, <=50K
26, Private, Bachelors, Male,40, Adm-clerical, <=50K
47, Private, Assoc-voc, Male,40, Other-service, <=50K
55, Local-gov, 10th, Male,40, Adm-clerical, <=50K
53, Private, HS-grad, Male,40, Transport-moving, <=50K
17, Private, 5th-6th, Male,48, Other-service, <=50K
30, Private, HS-grad, Male,40, Craft-repair, <=50K
49, Private, Masters, Male,60, Prof-specialty, <=50K
19, Private, HS-grad, Male,30, Sales, <=50K
45, Private, HS-grad, Male,40, Other-service, <=50K
26, Private, Assoc-acdm, Male,40, Sales, <=50K
38, Private, Assoc-voc, Male,40, Craft-repair, >50K
36, State-gov, HS-grad, Male,40, Protective-serv, >50K
33, Private, HS-grad, Male,20, Farming-fishing, <=50K
22, State-gov, Some-college, Female,40, Protective-serv, <=50K
43, Self-emp-not-inc, Bachelors, Male,42, Sales, <=50K
67, ?, 11th, Male,8, ?, <=50K
30, ?, Assoc-voc, Female,40, ?, <=50K
56, Private, Assoc-acdm, Male,25, Other-service, <=50K
31, Private, Bachelors, Male,25, Prof-specialty, <=50K
33, Private, Bachelors, Male,40, Exec-managerial, >50K
26, Private, HS-grad, Male,40, Other-service, <=50K
33, Private, Bachelors, Male,40, Exec-managerial, >50K
46, Local-gov, 11th, Male,30, Transport-moving, <=50K
59, ?, Bachelors, Male,40, ?, >50K
38, Federal-gov, HS-grad, Male,40, Adm-clerical, >50K
65, Private, 11th, Male,40, Other-service, <=50K
40, Private, Assoc-voc, Male,40, Tech-support, >50K
42, Private, HS-grad, Female,35, Adm-clerical, <=50K
26, Self-emp-not-inc, 9th, Male,40, Craft-repair, <=50K
36, Private, 10th, Female,24, Other-service, <=50K
62, Private, Masters, Male,40, Prof-specialty, >50K
43, Private, Bachelors, Male,45, Transport-moving, <=50K
43, Private, Bachelors, Male,45, Exec-managerial, >50K
22, Private, HS-grad, Male,55, Sales, <=50K
28, Private, HS-grad, Male,40, Craft-repair, <=50K
56, Self-emp-not-inc, Some-college, Male,45, Sales, <=50K
22, Private, Assoc-acdm, Female,15, Sales, <=50K
57, Private, Bachelors, Female,45, Exec-managerial, >50K
39, Private, HS-grad, Female,40, Sales, <=50K
26, Federal-gov, Some-college, Female,15, Adm-clerical, <=50K
17, Private, 11th, Male,10, Other-service, <=50K
40, State-gov, Assoc-voc, Male,38, Machine-op-inspct, >50K
45, Private, HS-grad, Male,40, Machine-op-inspct, <=50K
44, Private, HS-grad, Male,40, Craft-repair, <=50K
20, Local-gov, Some-college, Female,10, Adm-clerical, <=50K
33, Private, HS-grad, Female,40, Craft-repair, <=50K
23, Private, Some-college, Male,40, Sales, <=50K
46, Self-emp-not-inc, Masters, Male,30, Exec-managerial, <=50K
38, Private, HS-grad, Male,50, Sales, <=50K
54, Private, HS-grad, Male,40, Transport-moving, <=50K
46, Private, 5th-6th, Female,45, Craft-repair, <=50K
25, Private, Some-college, Male,40, Craft-repair, <=50K
46, Private, Some-college, Female,40, Sales, <=50K
36, Local-gov, Some-college, Female,40, Transport-moving, <=50K
23, Private, HS-grad, Female,25, Other-service, <=50K
29, Private, HS-grad, Male,40, Machine-op-inspct, <=50K
44, Private, Some-college, Female,6, Adm-clerical, >50K
19, Private, Some-college, Female,16, Adm-clerical, <=50K
19, Private, HS-grad, Female,40, Other-service, <=50K
35, Private, HS-grad, Female,40, Other-service, >50K
27, Private, Bachelors, Male,50, Craft-repair, <=50K
46, Self-emp-not-inc, Assoc-acdm, Male,40, Craft-repair, <=50K
34, State-gov, Bachelors, Male,45, Exec-managerial, >50K
34, Private, HS-grad, Female,35, Other-service, <=50K
44, Private, Some-college, Male,40, Tech-support, <=50K
45, Private, Some-college, Female,40, Handlers-cleaners, <=50K
20, ?, HS-grad, Female,35, ?, <=50K
25, Private, Bachelors, Male,55, Exec-managerial, >50K
52, Self-emp-inc, Bachelors, Male,50, Exec-managerial, >50K
20, Private, Some-college, Male,40, Handlers-cleaners, <=50K
28, Private, Some-college, Female,40, Other-service, <=50K
50, State-gov, Bachelors, Male,40, Protective-serv, >50K
34, Private, Assoc-voc, Female,64, Tech-support, <=50K
28, Private, 7th-8th, Male,40, Handlers-cleaners, <=50K
41, Private, Masters, Male,65, Exec-managerial, >50K
28, Private, HS-grad, Male,40, Adm-clerical, <=50K
46, Self-emp-not-inc, HS-grad, Male,25, Craft-repair, <=50K
28, ?, Some-college, Female,40, ?, >50K
32, Private, Some-college, Male,50, Exec-managerial, <=50K
41, Local-gov, Some-college, Female,24, Other-service, <=50K
24, Private, HS-grad, Female,40, Handlers-cleaners, <=50K
33, Private, Some-college, Female,40, Exec-managerial, <=50K
46, Private, Doctorate, Male,60, Exec-managerial, >50K
31, State-gov, Some-college, Male,40, Machine-op-inspct, <=50K
35, Private, 12th, Male,50, Craft-repair, >50K
52, Private, 1st-4th, Male,40, Machine-op-inspct, <=50K
30, Private, 11th, Female,19, Other-service, <=50K
34, Local-gov, 11th, Male,40, Machine-op-inspct, <=50K
34, State-gov, HS-grad, Female,40, Transport-moving, <=50K
20, Private, Some-college, Male,30, Sales, <=50K
17, Private, 11th, Male,18, Handlers-cleaners, <=50K
32, State-gov, Bachelors, Female,40, Exec-managerial, >50K
29, Private, HS-grad, Male,40, Farming-fishing, <=50K
33, Private, 10th, Female,35, Craft-repair, <=50K
25, Private, HS-grad, Male,60, Transport-moving, <=50K
36, Federal-gov, Masters, Male,40, Prof-specialty, <=50K
23, Private, HS-grad, Male,72, Handlers-cleaners, <=50K
63, Self-emp-inc, HS-grad, Male,40, Exec-managerial, >50K
47, Local-gov, Masters, Male,40, Prof-specialty, <=50K
80, ?, HS-grad, Male,24, ?, <=50K
17, ?, 11th, Male,40, ?, <=50K
40, Self-emp-not-inc, Bachelors, Female,40, Prof-specialty, <=50K
30, Private, Assoc-acdm, Female,25, Other-service, >50K
27, Private, Some-college, Male,40, Craft-repair, <=50K
33, Private, Masters, Male,50, Prof-specialty, >50K
34, Local-gov, HS-grad, Male,60, Farming-fishing, <=50K
34, Local-gov, Some-college, Female,40, Protective-serv, <=50K
23, Private, Some-college, Male,40, Adm-clerical, <=50K
42, Local-gov, Some-college, Female,40, Adm-clerical, <=50K
29, Private, Bachelors, Male,40, Prof-specialty, <=50K
45, Private, HS-grad, Female,28, Adm-clerical, <=50K
24, Federal-gov, HS-grad, Male,40, Armed-Forces, <=50K
44, Private, Some-college, Male,40, Prof-specialty, >50K
27, Private, 9th, Male,40, Craft-repair, <=50K
20, Private, Some-college, Male,35, Sales, <=50K
44, Private, HS-grad, Female,40, Exec-managerial, <=50K
51, Private, HS-grad, Male,40, Craft-repair, <=50K
20, Private, HS-grad, Male,40, Machine-op-inspct, <=50K
17, ?, 11th, Female,5, ?, <=50K
19, Private, HS-grad, Female,40, Machine-op-inspct, <=50K
45, Self-emp-inc, Some-college, Male,55, Craft-repair, >50K
60, Private, HS-grad, Male,40, Craft-repair, >50K
42, Private, Assoc-acdm, Male,40, Exec-managerial, >50K
44, Self-emp-not-inc, HS-grad, Female,40, Sales, >50K
40, Private, Assoc-voc, Male,40, Machine-op-inspct, >50K
30, Private, HS-grad, Female,40, Exec-managerial, <=50K
38, Private, Some-college, Male,50, Transport-moving, <=50K
23, Private, HS-grad, Male,60, Transport-moving, <=50K
32, ?, Some-college, Male,40, ?, <=50K
44, Private, Assoc-acdm, Male,40, Farming-fishing, <=50K
54, Local-gov, HS-grad, Male,40, Transport-moving, <=50K
32, Private, Bachelors, Male,50, Prof-specialty, <=50K
50, Private, 1st-4th, Male,40, Craft-repair, <=50K
24, Private, Bachelors, Female,20, Tech-support, <=50K
37, Private, HS-grad, Female,60, Adm-clerical, <=50K
52, Private, HS-grad, Male,40, Transport-moving, <=50K
38, Private, Some-college, Male,40, Transport-moving, <=50K
49, Private, Masters, Male,45, Exec-managerial, >50K
30, Private, Bachelors, Female,16, Tech-support, >50K
60, Private, Some-college, Male,40, Prof-specialty, >50K
22, ?, Some-college, Male,40, ?, <=50K
35, Private, HS-grad, Male,40, Craft-repair, <=50K
30, Private, HS-grad, Male,60, Transport-moving, <=50K
67, Private, Assoc-voc, Female,24, Other-service, <=50K
46, Private, Bachelors, Female,40, Craft-repair, <=50K
17, Private, 9th, Male,6, Other-service, <=50K
22, Private, Some-college, Male,30, Handlers-cleaners, <=50K
27, Private, 10th, Male,40, Other-service, <=50K
23, Private, HS-grad, Female,35, Other-service, <=50K
33, Private, Assoc-acdm, Male,45, Craft-repair, <=50K
43, Self-emp-not-inc, Some-college, Male,20, Craft-repair, <=50K
28, State-gov, Bachelors, Male,20, Prof-specialty, <=50K
41, Private, HS-grad, Female,40, Craft-repair, <=50K
52, ?, 12th, Male,40, ?, <=50K
25, Private, Some-college, Female,20, Adm-clerical, <=50K
63, ?, 1st-4th, Male,35, ?, <=50K
59, Local-gov, HS-grad, Male,45, Transport-moving, <=50K
45, Local-gov, Bachelors, Female,40, Prof-specialty, <=50K
38, Private, Bachelors, Male,60, Sales, >50K
